,score,scale,theta_all,trans_x,trans_y,pro1,pro2
0,11.20153699,1.8,-2.61204534,-5,1,1.073222203,1.559479518
1,11.16168235,1.8,2.85028965,-5,1,1.069403211,1.547817379
2,10.58407736,1.8,1.76857595,-5,1,1.014063879,1.603281255
3,11.2185934,1.8,-1.31219167,-5,1,1.074862255,1.404976607
4,9.968319677,1.8,3.11408723,-5,1,0.955067065,1.27779525
5,11.81801195,1.8,-2.4108012,-5,1,1.132287328,1.762510422
6,9.817872551,1.8,3.01287932,-5,1,0.94065263,1.498911016
7,11.29418624,1.8,-2.43599541,-5,1,1.082099347,1.376811091
8,12.86172486,1.8,2.77606647,-5,1,1.232284575,1.431029592
9,9.934148915,1.8,-1.72756406,-5,1,0.951797177,1.539171541
10,11.54347858,1.8,2.70053034,-5,1,1.10598306,1.470053232
11,13.18948384,1.8,3.14159265,-5,1,1.263687583,1.572681645
12,11.79243148,1.8,-2.42990736,-5,1,1.129836391,1.477038982
13,10.39758686,1.8,-1.0039164,-5,1,0.996202033,1.436739196
14,10.98524207,1.8,-2.83538313,-5,1,1.05249875,1.543259378
15,10.79738092,1.8,1.31809614,-5,1,1.034502135,1.326617788
16,11.17384048,1.8,-2.63452571,-5,1,1.070568562,1.54273094
17,11.23604758,1.8,-2.32506037,-5,1,1.076529463,1.631730664
18,10.10222157,1.8,1.71650178,-5,1,0.967897247,1.552281076
19,11.00783108,1.8,-2.81307215,-5,1,1.054663017,1.49940566
20,9.65860578,1.8,-2.54135906,-5,1,0.925393666,1.834971915
21,11.00169543,1.8,0.99744825,-5,1,1.054080587,1.353231978
22,12.63408791,1.8,2.61395181,-5,1,1.210474514,1.669477235
23,11.97270322,1.8,-2.92841809,-5,1,1.147107618,1.850305056
24,10.27381513,1.8,2.80574942,-5,1,0.984336422,1.372688266
25,11.31546237,1.8,-2.75549619,-5,1,1.084137277,1.469475417
26,10.59926706,1.8,0.21581502,-5,1,1.015536653,1.257307142
27,12.04076172,1.8,2.32883329,-5,1,1.153627942,1.534674439
28,9.489042626,1.8,-2.79802274,-5,1,0.909147526,1.284943794
29,10.12750148,1.8,1.11533605,-5,1,0.97032213,1.341080119
