,scale,x_A,x_B,y_A,y_B,sigma_x_A,sigma_x_B,sigma_y_A,sigma_y_B
0,0.9933333333333333,-28.097146802086826,80.27156602714396,70.09931248491297,63.164081640138,25.125921746433047,16.123420409949166,11.677317619417856,20.759987755984817
1,0.7466666666666667,35.8265978758031,74.81497693059497,65.47795486783032,63.403080683573215,18.183688946081638,18.76295042093528,12.673491168405482,21.91881476609578
2,0.72,38.082828929571626,74.4071910638277,65.52947027259583,63.356385340694,17.989204342909243,19.12099740530344,12.857324754921152,22.199506818919204
3,0.98,-23.461935840999807,78.7436260279177,69.59072693379275,62.99883238838615,24.751485199470853,20.924463814682404,11.670363614438712,16.661966758769672
4,0.6666666666666666,42.93351407540779,74.04006412155967,65.02084559812876,63.44680308701558,17.65054343545569,19.365586729113126,13.391291139489024,22.306407213891216
5,0.09333333333333334,55.610186630797116,70.6643099391275,63.93388604633031,62.83341431027507,20.85191056565517,24.814601936696107,19.17690141376464,23.28996415875795
6,0.9933333333333333,-28.099152509822623,79.22128472741059,70.3896835604131,62.945779514789244,25.126032532583707,20.87254066982047,11.677306498381727,16.481177611167105
7,0.9,3.827524503111401,77.8360436464546,68.29398705702654,63.22910367819535,21.861341317950757,17.053020574467638,11.78301744818593,21.077578695382865
8,0.6933333333333334,41.27240292810371,74.00007621965385,65.15662167053198,63.338000399098235,17.775839374122302,19.477877219823597,13.19345575880666,22.451251154696305
9,0.4533333333333333,50.94735985084779,72.03854390683966,64.30448450704894,63.51303801454688,18.12508843196898,21.57883046521146,15.449655973516608,23.939727065428837
10,0.62,45.174873492170725,73.43161557477706,64.85345041171327,63.4186314527114,17.54367038549978,19.974889420902468,13.738915634711447,22.759123465510754
11,0.6533333333333333,43.593397806587866,73.8436124711871,64.98173570457861,63.457977002985174,17.594463794344573,19.52123450115988,13.47866448336173,22.401059687328345
12,0.6,45.86052758940332,73.60547258690089,64.79891238002773,63.47765931597555,17.569961960221985,19.727175378559146,13.882979821988187,22.51735006939946
