,distance,sigma_x_A,sigma_y_A,sigma_x_B,sigma_y_B
37,7.127308361788248,2319.9937760252033,2321.641620407638,3794.099462911721,3797.434565769607
38,73.13715741324808,2926.17066502184,2926.2855320121844,2708.6257227233496,2708.334790853662
39,71.04259520270185,2836.4692411037418,2828.616189035007,2990.6399488709744,2993.135104972472
40,3.235423716392435,2400.1396081569483,2401.1052210865428,2791.8686818920537,2790.017830544499
41,27.912415839273898,3153.007645283973,3152.8858584991417,3398.910200729882,3400.4837464141374
42,23.213492436671885,2071.3799252062995,2072.5266832921484,2728.2330605914785,2726.0241845760343
43,64.06481443969032,2784.423767431586,2784.25983302153,2412.34146767081,2414.2434567891673
44,12.947370618292947,2296.8851982505394,2294.999597184564,3077.607855063403,3089.6552376084796
45,96.26381690261614,2639.524466700344,2639.9036843658473,2848.768294346099,2848.353955665309
46,13.535162848297855,3759.2417553748,3755.3115790565516,2595.0796180874845,2595.274346407015
47,11.906178791360237,2726.485995990004,2731.608678898626,2495.5063280634313,2486.6941388567966
48,66.12861829446805,2557.6155267670324,2558.3983648313188,3298.6699908157993,3299.6085125911122
49,39.4772506552214,2339.0374078700875,2338.330989391433,2824.453545454603,2824.591684450625
50,26.12833048643971,2359.108896088032,2365.426151949669,3158.576357852214,3163.3504772417555
51,43.00703505848937,1726.891829097323,1727.5168918893858,3518.7421990588427,3525.453386648307
52,57.500052881153266,1748.1598289171102,1748.4386016098522,3315.079852150195,3318.499385245308
53,28.128496009879544,3337.7127652461545,3336.7878648316373,2107.1356848688692,2101.6623893545448
54,21.647157857967592,2764.968124709246,2763.247146494357,3058.927080681459,3059.001872189072
55,77.29439927671226,2198.8700907556604,2194.2491198974544,2992.187540649517,2993.6024604331783
56,93.97352990832148,2894.9322096451606,2893.4826937133744,3418.0564291475894,3420.2568609831415
57,4.831718558060162,1890.6759986300583,1889.5483630105439,3189.4510391451545,3182.8897911843264
58,4.857319075431979,4545.999698307221,4546.346124132969,1629.8653164661848,1630.2886165706482
59,6.80337165492438,2088.7237422129,2085.3487714618186,2853.44816905721,2853.6396118159664
60,44.34506990178283,3658.560651738886,3658.3301029071995,2263.8429392839384,2263.9094236002493
61,11.185396525694287,3634.440434288431,3633.5723226463733,2059.7310547815705,2059.7797254485854
62,40.74753327472206,3002.892835057784,3003.34090719244,2750.9478537300083,2783.7621383842516
63,12.928506326205968,2847.0560009385613,2847.2036394567654,2292.241600065618,2293.419192659397
64,69.7314717684339,3842.5933311241474,3843.713619369095,2272.342727494314,2271.675990718003
65,20.32957303326986,2015.3441877647424,2015.1574464244902,2796.773840923975,2802.4528942336683
66,34.40957105919307,2665.7463301256785,2670.254872918636,2981.821702131202,2979.463310464958
67,41.482623057805206,2688.8869780947284,2688.8253531436726,3535.6720152567423,3537.4687997568153
68,21.664258556317165,2018.7346112731448,2017.7245459418257,3866.296926795302,3860.253757189073
69,29.561566359807383,3095.523785776616,3094.4215160615863,2060.152429016312,2061.3601978092565
70,48.937638196701165,1957.5289893132226,1957.7826661275492,3285.909921981945,3285.3832728513844
71,25.430351083909276,2230.070517787033,2228.7161018833444,3856.6365580373817,3859.3378955108824
72,2.7718522563910444,2005.8514782274333,2009.2692360000756,3021.0814139297913,3021.268401605332
73,19.8450840404228,4520.725421475659,4514.630890401331,1684.6799457627712,1684.5770590230811
74,5.093049930008136,2071.5406357874626,2070.876963156941,2943.502236646249,2943.629377431371
75,37.91715281614499,2380.8927435814,2383.90410591567,2788.6659223370675,2789.945874812605
76,56.89371994019967,2213.6048936064212,2212.7139817726056,2319.963119889996,2319.2155293036
77,86.36385279844613,2339.0067565646623,2338.418002858061,2902.030703614341,2896.514867561997
78,96.93983728250474,2564.5233616962273,2563.8818224400247,2729.820769132762,2728.565277279662
79,21.019473473500508,3222.530037618923,3221.519805309057,2595.5982848058875,2593.337297770239
80,57.985456309916934,2900.0269395694754,2897.764892380228,2279.471112487952,2278.3961598412147
81,16.22837936523249,2648.6038914825654,2650.1685611452635,3216.9926873740797,3216.9805359522397
82,24.589233262333728,2280.287609875392,2282.1252017006877,2379.3167394308743,2381.153177579753
83,28.08312421790055,2005.463232898225,1998.8998402594916,3034.5718574765256,3038.2600978665105
84,25.43335332838791,2017.698013231537,2017.4329351212423,3382.329350425382,3383.757605947104
85,18.189046083662713,2302.283908062448,2300.080521988079,2824.9220132290975,2823.220266733806
86,19.011150518345584,2865.2327247516614,2864.1701650043824,2557.7261578661687,2557.200498958103
