,score,scale,theta_all,trans_x,trans_y,pro1,pro2
0,12.89204233,1.65,-3.116618093,-8,-1,1.133091395,1.537794845
1,13.13252581,1.65,2.120311589,-8,-1,1.154253156,1.423876693
2,12.20013026,1.65,2.072835934,-8,-1,1.072304395,1.502005674
3,10.35857919,1.65,2.531133098,-8,-1,0.910430936,1.095588327
4,13.30654835,1.65,1.696254017,-8,-1,1.169569008,1.357026643
5,10.30246939,1.65,1.672143159,-8,-1,0.90552872,1.123093279
6,14.68947123,1.65,-1.091498479,-8,-1,1.291158326,1.973708525
7,10.43281754,1.65,2.483987326,-8,-1,0.916957057,1.243585736
8,14.50065146,1.65,-2.82438417,-8,-1,1.274475678,1.674525791
9,13.83477962,1.65,0.831023261,-8,-1,1.216090368,1.910108322
10,13.2236881,1.65,-1.369554372,-8,-1,1.162295298,1.642777226
11,13.88929419,1.65,1.972220534,-8,-1,1.220774809,1.640254348
12,14.05954158,1.65,-2.655217198,-8,-1,1.235709017,1.538357197
13,11.27724792,1.65,2.765110493,-8,-1,0.99116896,1.268987867
14,14.22100023,1.65,1.824652409,-8,-1,1.249937188,1.53704089
15,13.49642121,1.65,0.512926192,-8,-1,1.186417202,1.476807501
16,12.77218317,1.65,-3.02150175,-8,-1,1.122557207,1.446221974
17,10.14921112,1.65,2.786304242,-8,-1,0.892024327,1.261538657
18,11.67854293,1.65,-1.768948771,-8,-1,1.026467047,1.626801358
19,9.681976687,1.65,2.047131003,-8,-1,0.850977537,1.20302026
20,13.57613876,1.65,2.820239149,-8,-1,1.193219809,1.731451317
21,10.82723169,1.65,-2.14937564,-8,-1,0.951629666,1.222713678
22,13.14733997,1.65,3.122392844,-8,-1,1.155529684,1.67812365
23,11.453291,1.65,1.756132292,-8,-1,1.006675745,1.391139804
24,11.60899175,1.65,-3.058798335,-8,-1,1.020323243,1.442615584
25,13.25453587,1.65,2.116363341,-8,-1,1.164977129,1.61687138
26,13.90567223,1.65,1.453671547,-8,-1,1.222242803,1.6762084
27,11.97868216,1.65,3.01655801,-8,-1,1.052815785,1.331405783
28,11.72031031,1.65,2.296369873,-8,-1,1.030123013,1.295214406
29,12.69594359,1.65,-2.166771453,-8,-1,1.115874314,1.496220973
30,12.66334866,1.65,1.25213472,-8,-1,1.113063209,1.572239828
31,12.29717051,1.65,1.651297325,-8,-1,1.080852657,1.615326066
32,12.80527915,1.65,1.550402713,-8,-1,1.125517851,1.503609498
33,12.77983494,1.65,1.363234797,-8,-1,1.123293038,1.367639102
34,11.42992556,1.65,-1.860635364,-8,-1,1.004611871,1.41440573
35,12.09253743,1.65,3.03819151,-8,-1,1.062822505,1.648887968
36,13.15162493,1.65,1.080588507,-8,-1,1.155999894,1.80024052
37,10.04921033,1.65,1.949498792,-8,-1,0.883258292,1.266974357
38,12.83043788,1.65,1.608694178,-8,-1,1.127726066,1.503139135
39,11.49354123,1.65,2.428641785,-8,-1,1.010187419,1.538904818
40,12.10588017,1.65,1.633700813,-8,-1,1.064040147,1.616687548
41,10.82197795,1.65,1.561903119,-8,-1,0.951195398,1.184621919
42,11.36213971,1.65,2.526425803,-8,-1,0.99863549,1.224462848
43,14.19717457,1.65,0.926161525,-8,-1,1.247926572,1.466851339
